,이름,설명,평가,내용
10,천비향 약주,짙은 매력을 품은 고급 약주,"쌀 본연의 진한 단맛과 적당한 신맛, 고소함이 느껴지는 약주로 다섯번 빚어 만드는 오양주입니다. 바디감이 느껴지지만 질감이 부드러워 편하게 드실 수 있습니다.","천비향 약주, 어떤 술인가요?
짙은 매력을 품은 고급 약주
천비향 약주는 총 다섯 번 빚어내는 오양주입니다.
전통주는 한 번 빚어내는 단양주를 기반으로 덧술 넣는 횟수에 따라 이양주 삼양주 등으로 구분하는데요.
횟수를 거듭할수록 재료와 시간이 많이 들어, 오양주는 과거 양반가에서나 간혹 빚어 마시던 고급 술이었지요.
이러한 오양주 기법을 현대적으로 재현해 맑게 걸러 낸 천비향 약주에는 남다른 풍미와 깊이감이 두드러져요.
단 맛과 산미의 조화는 물론 풍부한 과실향과 은은한 누룩향이 주는 여운이 깊은 인상을 남깁니다.
천비향 약주, 어떻게 만드나요?
다섯 번 빚어 맑게 걸러낸 술
천비향 약주에는 어떠한 첨가물도 들어가지 않습니다. 오직 쌀과 물, 누룩으로 완성되지요.
도정한 지 얼마 되지 않은 고품질 평택 쌀과 대대로 내려오는 제조 방식으로 만든 누룩만을 사용합니다.
정성으로 준비한 재료를 토대로 도합 다섯 번 빚어내는 오양주 기법을 사용해 술을 빚어내는데요.
발효에만 총 100일에 가까운 시간이 필요합니다. 이후 9개월 이상 저온에서 숙성해 맑게 걸러 내면 진한 매력을 갖춘 천비향 약주가 완성되지요.
천비향 약주, 음식과의 궁합은?
갈비찜 / 소불고기
제육볶음
천비향 약주는 16도에 달하는 알코올 도수가 느껴지지 않을 정도로 풍부한 과실 향, 자연 단 맛과 산미가 훌륭한 조화를 이루는 약주입니다.
특유의 진하고 깊은 풍미는 간장 양념을 기초로 한 갈비찜이나 소불고기와 같은 음식에 잘 어울리는 특징이지요.
제육볶음처럼 적당히 매콤한 안주에 곁들여 마시기에도 좋습니다."
11,지란지교 무화과 탁주,고급 탁주에 더한 무화과의 향기,"무화과의 달콤하면서도 새콤한 맛에 쌀 본연에서 나오는 달콤함이 더해진 막걸리입니다. 질감과 도수 대비 낮게 느껴지는 알코올감이 특징이에요.은은한 무화과 맛을 잘 담아낸 제품이에요. 청포도와 사과 향미가 살짝 느껴지며, 무감미료 탁주답게 지나친 단맛은 드러내지 않습니다. 입문자도 충분히 즐길 수 있을 정도로 편안하면서도 품격을 놓치지 않는 탁주입니다.달달한 과일 향과 살짝 새큼한 향, 민트와 같은 청량감이 느껴져요. 아몬드나 무화과 풍미가 아주 달콤해서 맛있게 마실 수 있습니다.","지란지교 무화과 탁주, 어떤 술인가요?
고급 탁주에 더한 무화과의 향기
지란지교 무화과 탁주는 풍부하고 향긋한 무화과의 과실 향, 햅찹쌀에서 기인한 자연스러운 단 맛과 산미, 질감이 잘 드러나는 술입니다.
고운 연자색 술빛이 특징으로, 발효의 고장으로 불리는 순창에서 임숙주, 김수산나 부부가 빚어내고 있지요.
순창, 특히 순창 건곡리는 오래 전부터 누룩 품질이 좋기로 유명했다고 하는데요.
이 고을에서 전해져 내려오는 주방문과 누룩 제조법을 참고해 탁하게 걸러내어 무화과를 더한 술이 바로 지란지교 무화과 탁주입니다.
지란지교 무화과 탁주, 어떻게 만드나요?
청정 순창의 천연 재료만 사용
지란지교 무화과 탁주는 품질이 우수한 누룩, 쌀, 무화과와 강천산 자락에서 얻어낸 천연 암반수를 활용해 만드는 술입니다.
생산자 내외는 순창에서 생산한 재료만으로 지란지교를 빚어내는데요.
햅쌀은 물론 부재료인 무화과까지 직접 정성을 담아 재배하여 그득한 과실향이 드러나게 합니다.
이렇게 인공 감미료 없이 자연에서 얻은 천연 재료만 사용하여 100일 발효와 90일 숙성 과정을 거쳐 탁하게 걸러내면 지란지교 무화과 탁주가 만들어집니다.
지란지교 무화과 탁주, 음식과의 궁합은?
제육볶음 / 돼지고기김치찜
지란지교 무화과 탁주는 적당한 질감과 자연스러운 단 맛, 적절한 산미가 주는 균형미에 더해 무화과의 향긋한 과실향이 잘 드러나는 술입니다.
특유의 단 맛과 질감, 적당히 새콤한 풍미는 제육볶음이나 돼지고기김치찜과 같이 살짝 매콤한 양념이 가미된 음식에 곁들이기 좋은 특징이지요."
12,추사40,예산 사과로 만든 한국형 깔바도스,"오크숙성 사과브랜디 '추사40'은 한국의 깔바도스라는 별명을 가진 술입니다.오크통에 수년간 숙성하여 초콜렛, 바닐라의 뉘앙스가 함께 느껴지는 사과 증류주입니다.개봉 후 따르자마자는 아세톤향이 올라오지만 금새 날라가고 달콤한 사과향이 점점 강해진다. 바닐라와 사과즙을 졸인듯한 달달함이 여운을 어느정도 남겨주고, 시간이 지날수록 점점 달아진다. 살짝 스파이시함도 매력적.","추사40, 어떤 술인가요?
예산 사과로 만든 한국형 깔바도스
추사40은 예산 사과로 만든 증류주예요. 오크통에 숙성 과정을 거쳐 옅은 호박색을 띠지요.
숙성에서 기인한 그윽한 바닐라 향과 부드러운 질감, 은은한 풍미는 코와 입을 즐겁게 하고요.
알코올함량이 40%에 이르지만 크게 부담스럽지 않아요.
프랑스에는 사과 발효액을 증류해 만든 세계적인 브랜디, '깔바도스'가 있는데요.
사과를 활용해 만드는 술이나 증류주 제품이 흔하지 않은 국내 시장에서 추사40은 '한국의 깔바도스'라고 불리기도 한답니다.
추사40, 어떻게 만드나요?
오크 숙성으로 더한 풍미
추사40은 충남 예산에 소재한 예산사과와인 양조장에서 생산합니다.
품질이 우수한 예산 사과를 직접 재배해 술 빚는 데 활용하고 있지요.
추사40을 만드려면 우선 재배한 사과를 가공해 가당하지 않고 발효시켜야 해요.
그 다음, 상압 다단식 동증류기를 사용하여 증류해 내는데요.
끓는 점을 낮춰 증류하는 상압식 증류를 하기 때문에 튀는 맛이 적고 깔끔한 캐릭터를 가지게 돼요.
이어서 마지막으로 오크통 숙성 과정을 거치면 그윽한 풍미를 지닌 추사40이 완성됩니다.
추사40, 음식과의 궁합은?
아이스크림 / 견과류
추사40은 오크통 숙성에 따른 은은한 바닐라 향과 초콜릿 향이 드러나는 알코올함량 40% 증류주입니다.
여러 음식에 곁들여 볼 수 있지만, 추사40의 은은한 숙성 향을 제대로 느끼려면 간단한 안주를 두고 마시는 것도 좋은데요.
바닐라 아이스크림이나 견과류 등이 무난히 잘 어울립니다."
13,별산,상큼달콤 매력적인 막걸리,"부드러운 질감과 새콤달콤한 맛이 매력적인 막걸리입니다. 은은한 요거트 향과 살짝 느껴지는 새콤한 자두 풍미, 부드럽고 달콤한 맛을 가지고 있습니다.","별산, 어떤 술인가요?
다양한 매력이 공존하는 상큼달콤 막걸리
별산은 기분 좋게 상큼한 산미와 적당한 당도, 부드러운 질감, 감칠맛이 아주 인상적인 이양주 막걸리입니다.
다양한 맛이 공존하지만 각자 서로에게 방해가 되지 않게 균형을 잘 이루고 있으며, 탄산감은 거의 느껴지지 않아요.
고전적인 막걸리 스타일을 벗어나 새롭고 신선한 맛을 찾는 이들에게 딱 맞는 제품입니다.
<2020 대한민국주류대상> 'Best of 2020' 우리술 부문에 선정되어 당해 가장 우수한 전통주로 뽑히기도 했지요.
별산, 어떻게 만드나요?
새롭고 신선한 시도로 만드는 술
별산의 가장 큰 매력 포인트는 거부감 없는 산미입니다.
열쇠는 바로 '감식초'에 있습니다.
일반적인 양조 과정에서는 산패를 염려하여 발효 과정에 식초를 쓰지 않는데요.
별산은 6년된 감식초에서 채취한 균주를 발효종균으로 사용해 양조합니다.
지금처럼 부드럽게 상큼한 맛을 낼 수 있는 비결이지요.
효소 활동을 활발하게 만들기 위한 ‘음악발효법’을 사용하기도 하는 등 별산은 다양하고 새로운 시도를 통해 완성하는 막걸리입니다.
별산, 음식과의 궁합은?
세발나물무침 / 두부김치
파전
별산은 새콤달콤한 맛과 감칠맛을 가진 막걸리입니다.
맛의 균형이 좋아 종류를 가릴 것 없이 다양한 음식에 잘 어울리는데요.
세발나물무침 등 식초와 고춧가루를 가볍게 사용해 새큼한 맛을 내는 안주에도 곁들여 마시기 좋습니다.
파전과 두부김치 역시 두말할 필요 없이, 즐거운 한 상을 차려내는 데 손색이 없는 조합입니다."
14,백련 생막걸리 Misty,안개처럼 신비한 매력을 가진 탁주,"당진의 최상급 쌀과 백련잎을 주원료로 하고 있으며, 단맛과 산미가 강하지 않고 청량한 느낌이 있어 편하고 가볍게 마시기 좋습니다.","백련 생막걸리 Misty, 어떤 술인가요?
안개처럼 신비로운 매력을 가진 생막걸리
백련 생막걸리 Misty는 깊이가 느껴지는 맛과 약한 탄산감, 깔끔한 뒷맛이 잘 어우러지는 제품이에요.
안개처럼 은은하고 신비한 매력을 지닌 술이라 해서 'Misy'라는 명칭을 붙였다고 합니다.
불투명한 유리병 디자인은 안개와 같이 오묘한 느낌을 주면서 한층 고급스러운 멋을 더하는 요소이기도 하지요.
2014년에는 대한민국 우리술 품평회에서 대상을 거머쥐며 우수한 품질을 증명한 바 있습니다.
백련 생막걸리 Misty, 어떻게 만드나요?
지역 쌀과 백련잎으로 완성한 깔끔함
백련 생막걸리 Misty는 당진 해나루 쌀을 주 원료로 사용해요.
해나루 쌀은 충남 당진 간척지 땅에서 바닷바람을 맞고 자란 쌀로 품질이 아주 우수합니다.
또, 백련 생막걸리라는 이름에 걸맞게 제조 과정에 백련잎을 넣어 특유의 깔끔한 맛이 나게 하지요.
모든 재료 준비를 마치고 나면, 만든 지 80년이 넘은 재래식 항아리에서 발효와 숙성이 이루어지는데요.
적절한 맛이 올라올 정도로 시간이 흐른 뒤 병입 과정을 거치면 우리가 아는 백련 생막걸리가 됩니다.
백련 생막걸리 Misty, 음식과의 궁합은?
프라이드 치킨
탕수육
도토리묵무침
백련 생막걸리 Misty는 낮은 단 맛과 적당한 산미, 깔끔한 뒷맛이 도드라지는 막걸리입니다.
프라이드 치킨이나 탕수육 등에 곁들여 마시기 좋은데요.
튀긴 육류가 가진 느끼함을 잡아주기 쉬운 특색을 가졌기 때문이지요.
어느 정도 새콤한 맛을 가지고 있어 도토리묵무침과 같은 안주에도 무난히 잘 어울립니다."
15,택이,평택의 자연을 품은 막걸리,"담백한 쌀 향과 은은한 과일향을 가진, 담백하면서도 부드러운 택이는 다양한 한식과 두루 잘 어울립니다.","택이, 어떤 술인가요?
평택의 자연을 품은 막걸리
택이는 자연친화적 제조방식으로 세 번 빚어낸 무감미료 탁주입니다.
정감을 주는 '택이'라는 이름은 양조장의 소재지인 평택에서 따 온 이름이라고 해요.
라벨 디자인 역시 평택 평야를 위에서 내려다 본 모습을 나타내고 있습니다.
맛을 보면 부드러우면서 적당히 묵직한 질감, 고급스러운 단 맛이 매력적으로 다가오는데요.
알코올도수는 8도로 일반 막걸리보다 살짝 높지만 전혀 부담스럽게 느껴지지 않아요.
택이, 어떻게 만드나요?
정성과 진심으로 빚어낸 삼양주
택이에는 어떠한 인공첨가물도 들어가지 않습니다.
오직 쌀과 물, 누룩으로 완성되지요.
도정한 지 얼마 되지 않은 고품질 평택 쌀과 대대로 내려오는 제조 방식으로 만든 전통누룩만을 사용합니다.
정성으로 준비한 재료를 토대로, 도합 세 번 빚어내는 삼양주 제조 방식으로 술을 빚어내는데요.
철저히 관리된 환경 속에서 발효와 저온 숙성 과정을 수개월 거치고 나면 세련되고 매력적인 맛을 내는 ‘택이’가 완성됩니다.
택이, 음식과의 궁합은?
떡볶이
오리고기구이
택이는 부드러우면서 적당한 당도와 도수에 비해 묵직한 질감을 가진 막걸리입니다.
단 맛과 입자감이 자극적인 맛을 중화시켜주어 매콤한 떡볶이 등 매운 음식에 곁들여 먹기 좋아요.
오리고기구이와 같이 어느 정도 기름진 육류 요리에도 무난하게 잘 어울리는 술입니다."
16,문삼이공 잣,고소한 잣 향 가득 담은 막걸리,잣 중에서도 '황잣'을 이용하여 그 어떤 술보다 잣향이 풍부하게 나는 것이 특징입니다. 잔에 따랐을 때 보이는 잣기름을 느껴보세요.산미가 어느정도 있고 과일향과 고소한 잣의 향이 밸런스가 좋아 재미있고 맛있게 즐길 수 있습니다.,"문삼이공 잣, 어떤 술인가요?
깔끔하고 고소한 잣 향 가득 담은 막걸리
문삼이공(MOON320)은 각 음절마다 의미를 지녔어요.
우선 '문'은 영단어 Moon, 즉 달인데요.
물가에 비친 달과 같은 묘한 색을 낸다는 뜻입니다.
'3'은 쌀과 물 누룩 세 가지 원료로만 만들었다는 뜻이며 '2'는 밑술에 덧술을 더했다는 의미, '0'은 첨가물 없이 옛 술 그대로의 맛이라는 뜻을 담고 있지요.
여기에 황잣을 더한 문삼이공 잣은 특유의 깔끔하고 고소한 맛과 적당한 당도가 두드러지는 탁주로, 입 안에 퍼지는 은은한 잣 향을 즐기기 좋은 제품입니다.
문삼이공 잣, 어떻게 만드나요?
청정 자연에서 빚은 술에 더한 황잣의 풍미
문삼이공 잣은 산 좋고 물 좋은, 강원도 홍천군에서 만들어집니다.
천연발효식품 전문 생산자인 마마스팜에서 생산하고 있지요.
강원도의 청정 환경에서 얻은 친환경 쌀과 깨끗한 물, 누룩 등 자연 재료만 사용해 빚어내는 술입니다.
특히 문삼이공 잣에는 황잣이 들어가는데요.
백잣과 달리 속껍질을 가진 황잣을 사용하면 잣 특유의 진하고 고소한 맛이 술에 더욱 잘 녹아나기 때문입니다.
문삼이공 잣, 음식과의 궁합은?
매운 닭발 / 떡볶이
고소한 잣 향과 적당한 당도가 느껴지는 문삼이공 잣은 매운 양념이 더해진 음식과도 잘 어울립니다.
매운 닭발이나 떡볶이에 얼얼해진 입 안과 혀를 묵직한 질감과 고소하고 달달한 맛으로 쉽게 달래줄 수 있어 좋습니다."
17,원매 프리미엄,’격’을 달리하는 프리미엄 매실주,"황매실 100%로 만들어, 진한 매실의 향과 달콤함이 느껴지는 리큐르입니다. 향과 풍미가 좋은 프리미엄 황매실을 사용한 만큼 매실향을 풍부하게 느낄 수 있습니다.","원매 프리미엄, 어떤 술인가요?
’격’을 달리하는 프리미엄 매실주
풍부한 매실 향과 새콤함에 이은 진득한 단맛이 일품인 원매 프리미엄.
그야말로 '급이 다른' 매실술이에요. 흔히 보이는 시중 매실주처럼 비교적 값이 싼 청매를 사용하거나 다른 과실주를 섞어서 만들지 않거든요.
비용과 품이 훨씬 많이 들지만, 황매실과 제주산 꿀을 사용해 매실주의 품격을 한 단계 높인 제품입니다.
20도에 달하는 알코올도수도 크게 부담스럽게 느껴지지 않아요.
원매 프리미엄, 어떻게 만드나요?
천연 재료와 숙성으로 더한 깊이
원매 프리미엄은 황매로 만든 더한주류의 프리미엄 매실주 제품입니다.
황매는 청매에 비해 향과 맛이 좋지만 수확과 보관이 까다로운데요.
더한주류는 국내 최초로 황매 100% 매실주 제품을 생산해낸 양조장으로 알려져 있습니다.
특히 원매 프리미엄은 5년 이상 숙성한 황매실청과 제주 꿀로 완성해, 그 깊이와 맛이 더욱 풍부하지요.
원매 프리미엄, 음식과의 궁합은?
골뱅이 소면무침
원매 프리미엄은 새콤달콤한 맛과 진한 매실 풍미가 일품인 술이에요.
적당히 매운 맛을 보이면서 새콤한 맛을 내는 골뱅이 소면무침과 같은 안주에 적절히 잘 어울립니다."
18,냥이탁주 9도,"이름과 라벨, 맛 모두 매력적인 탁주","달콤한 꿀의 향과 오미자의 새콤한 산미와 감칠맛, 다채로운 곡물향이 잘 어우러지며 송순의 깔끔한 끝맛이 밸런스가 좋습니다.살짝 걸죽하고 단맛과 신맛의 밸런스가 좋고, 자두나 오미자를 떠올리게 하는 향이 기분좋은 한모금을 선사합니다.","냥이탁주 9도, 어떤 술인가요?
이름과 라벨, 맛까지 전부 매력적인 탁주
냥이탁주 9도는 경기도 고양시에 자리한 '행주산성주가'에서 생산하는 탁주입니다.
희뿌연 색을 가진 일반 막걸리와 다르게 꽤나 진한 색을 띠고 있어요.
맛 또한 깊고 짙은 편이며 탄산감 없이 새콤달콤하고 쌉싸름한 풍미가 깊은 인상을 남깁니다.
귀여운 느낌을 잔뜩 품은 제품명과 라벨 디자인은 모두 '고양이'에서 아이디어를 얻은 것인데요.
고양시를 대표하는 마스코트가 고양이인 데 착안한 결과물이라고 합니다.
냥이탁주 9도, 어떻게 만드나요?
지역 쌀과 6가지 부재료로 완성하는 매력
냥이탁주는 고양시에서 재배하는 지역 품종인 '가와지쌀'을 사용해 만듭니다.
알맹이가 작고 입 안에서 부드러운 느낌을 주는 쌀로, 찹쌀과 멥쌀의 특징을 고루 갖췄습니다.
이외에도 냥이탁주에는 벌꿀, 누룩, 보리, 송순, 찰수수, 오미자 등 다양한 부재료가 들어가는데요.
쌀과 함께 냥이탁주 특유의 당도와 산미는 물론 자연스러운 풍미까지 더해주어 인공 첨가물 없이도 매력적인 맛을 내게 도와줍니다.
냥이탁주 9도, 음식과의 궁합은?
돼지고기수육
갈비찜
다양한 부재료가 들어가 새콤한 산미와 충분한 당도, 짙은 질감을 가진 냥이탁주 9도는 돼지고기 수육과 갈비찜 등 삶거나 찐 고기 요리를 안주로 두고 마시기 좋습니다.
돼지고기 수육의 야들야들한 살점과 적당한 지방이 냥이탁주 9도 특유의 새콤달콤한 풍미와 잘 맞아 떨어지며, 특유의 콤콤한 향은 달콤한 갈비찜 양념에도 묘하게 잘 어울립니다."
19,관악산생막걸리,등산 후 벌컥벌컥 마시는 막걸리,"참외, 멜론, 청사과의 시원하고 달콤한 향을 가진 막걸리입니다. 깔끔한 맛과 시원한 단맛을 가지고 있어 부담없이 꿀꺽꿀꺽 마실만 한 술입니다.쌀이 주는 담백함을 잘 살린 제품입니다. 과한 탄산 없이 둥글고 구수한 맛을 가졌어요. 옛 막걸리의 누룩 향도 느껴집니다. 인공감미료 없이 100% 우리 농산물로 만들어 막걸리 본연의 맛을 즐기고 싶은 이들에게 추천해요.","관악산생막걸리, 어떤 술인가요?
등산 후 벌컥벌컥 마시는 막걸리
관악산생막걸리는 경기 과천에 위치한 ‘과천도가’에서 만든 막걸리입니다.
양조장 옆에 관악산이 위치해있죠.
1L의 큰 용량에 걸맞게 큰 잔에 가득 부어 벌컥벌컥 마시기 좋은데요.
등산 후 갈증을 시원하게 풀어주는 술입니다.
맑은 부분만 따라서 마시면 은은한 바닐라향이 돌고 위 아래로 섞어 마시면 산미 없이 은은한 단맛이 납니다.
가볍고 부드러운 목넘김으로 편하게 마실 수 있습니다.
관악산생막걸리, 어떻게 만드나요?
곱게 간 경기미 햅쌀의 매력을 가득 담다
관악산생막걸리는 경기미를 두어번 곱게 갈아내어 술을 빚습니다.
대게 고두밥으로 쌀을 쪄서 만들지만 이곳에서는 생쌀을 갈아서 술을 빚지요.
한 번만 빚지 않고 도중에 추가로 곱게 간 쌀을 넣어 총 두 번 빚어냅니다.
누룩은 그대로 사용하지 않고 물을 넣어 불린 후 맑은 부분만 사용하는데요.
추가로 발효제를 넣어 막걸리의 맛은 살리면서 안정적으로 술을 발효시킵니다.
관악산생막걸리, 음식과의 궁합은?
돼지고기 수육
도토리묵
관악산생 막걸리는 청량한 청사과에 약간의 단맛이 있는 편안히 즐길 수 있는 막걸리입니다.
술 자체에 맛이 강하지 않아 음식의 맛을 크게 해치지 않는데요.
음식 본연의 맛을 느끼기 좋은 돼지고기 수육이나 도토리묵 같은 안주와 함께 드셔보세요.
안주의 맛을 살려주면서 은은하게 자신의 매력을 펼칩니다."
20,열두쌀,어린시절이 떠오르는 막걸리,"청사과, 청포도 같은 약한 산미가 더해진 술입니다. 12도의 도수가 거의 느껴지지 않을만큼 부드러운 목넘김을 가지고 있습니다.은은한 과실향과 누룩향을 가진 막걸리입니다. 가벼워 보이지만 묵직한 면모도 갖춘 제품이라고 볼 수 있습니다. 막걸리 입문 단계를 지난 분들에게 추천하고 싶습니다.바나나와 코코넛같은 달달한 향과 함께 꽃 향도 느껴지고, 산미와 탄산감도 살짝 있어서 새콤달콤 맛있습니다. 잘 만든 술 같아요.","열두쌀, 어떤 술인가요?
어린 시절이 떠오르는 막걸리
한아양조 막걸리 시리즈의 3번째. 일곱쌀, 아홉쌀에 이은 열두쌀입니다.
이름 그대로 알코올도수 12%로 묵직한 바디감과 뭉근한 단맛을 가지고 있죠.
일곱쌀 아홉쌀 라벨에는 활짝 웃고 있는 사진이 붙어있지만 열두쌀은 너무 기뻐 고개를 들고 있는 사진이 붙어있어요.
라벨을 한번에 모아두고 보면 사진이 이어져있어 어린시절 나의 모습을 보는 것 같답니다.
열두쌀, 어떻게 만드나요?
하얗고 뽀얀 백진주쌀에서 얻어낸 달콤함
열두쌀은 백진주쌀 단일미로 만든 막걸리입니다.
단일미란 품종표시의 한 종류로 해당 품종이 전체 쌀의 80% 이상 담겨있는 품종에만 표기할 수 있습니다.
동일한 품종으로 쌀을 찌기 때문에 수분, 함량 등이 일정해 균일한 맛을 내죠.
고두밥을 쪄서 두 번 빚어낸 이양주 기법으로 만들었는데요.
알코올 도수를 높이기 위해 가수를 적게 하여 백진주쌀에서 얻을 수 있는 단 맛을 한 병에 압축시켰습니다.
열두쌀, 음식과의 궁합은?
가래떡 떡볶이
김치전
열두쌀은 병입하고 일주일 동안은 매우 부드럽고 단맛이 강합니다.
상쾌한 배와 달달한 멜론을 함께 먹는 맛을 경험할 수 있죠.
단맛을 지나고 나면 잔잔한 탄산이 짜르르 올라옵니다.
그래서 매콤하고 쫄깃한 맛을 가진 가래떡 떡볶이와 잘 어울리죠.
살짝 매워진 입을 달달하고 시원한 맛이 덮어줍니다.
일주일 숙성을 더 하면 병에서 발효가 일어나 탄산이 많이 발생하고 단맛은 적어집니다.
이때에는 기름기가 있고 살짝 매콤한 김치전을 드셔보세요.
기름졌던 입안을 시원하게 만들어줍니다."
21,백수환동주,모든 미각을 깨우는 명품 탁주,"걸쭉한 질감에 산도와 당도의 밸런스가 좋은 술입니다. 산미와 당도가 모두 높은 편으로, 막걸리 자체의 맛을 즐기고 싶으신 분들에게 추천드립니다.은은한 과일향과 살짝 알코올향이 나며, 정신이 아주 번쩍 들정도로 신맛이 강한 술입니다.","백수환동주, 어떤 술인가요?
모든 미각을 깨우는 명품 탁주
백수환동주는 술 빚는 법을 기록한 19세기 조선의 조리서, <양주방>에 기록된 동명의 술을 복원한 탁주예요.
'백발 노인을 어린이로 되돌리는 술' 이라는 의미를 가지고 있지요.
걸쭉하고 묵직한 질감과 짙은 단 맛, 이에 필적하는 산미와 넘실대는 곡물 및 과실 향이 특징이에요.
입과 코를 가득 채우고 오미를 자극하는, 명실상부 명품 탁주입니다.
백수환동주, 어떻게 만드나요?
특별한 제조과정에 깃든 특별한 맛
백수환동주를 만드는 과정은 일반적인 술 빚는 방법과 조금씩 다른데요.
우선 발효에는 쌀과 녹두로 디딘 특수 누룩인 '백수환동곡'이 쓰여요.
숙성은 저온에서 긴 시간 이뤄지고요. 또 발효와 숙성을 포함한 모든 과정에 별도로 물이 들어가지 않아요.
백수환동주 특유의 묵직한 질감과 깊은 맛, 풍성한 향은 이렇게 만들어집니다.
백수환동주, 음식과의 궁합은?
고사리나물
도토리묵무침
백수환동주는 진한 질감과 단 맛, 균형 있는 산미, 풍성한 향이 주를 이루는 탁주예요.
질감이 입 안을 가득 채우고 맛과 향이 휘몰아쳐 안주 없이 즐기기 좋은데요.
음식과 함께 먹으려면 도토리묵무침이나 고사리나물 등 제법 심심한 맛을 가진 메뉴에 잘 맞습니다.
 "
22,백걸리,얼음 타먹는 생막걸리,"묵직한 단맛과 쌉싸름한 알콜감이 매력적인 탁주. 적은 산미로 달콤하고 고소한 스타일의 탁주를 좋아하는 사람들에게 추천드립니다.요거트를 보는 듯한 걸죽함에 향은 상큼하고 달달한 과일향이 조화롭게 어울리는데, 맛은 달지 않아 반전의 매력이 있는 막걸리입니다.","백걸리, 어떤 술인가요?
얼음 타먹는 생막걸리
백걸리는 깊고 진한 풍미를 가진 막걸리예요.
원액에 가까워 알코올 함량은 14%에 달해요. 시중 제품에 비해 상당히 높지요.
일반적으로 우리가 아는 막걸리는 완성된 원주에 물을 상당량 넣고 희석하여 만드는데요.
농밀한 맛을 살리기 위해, 백걸리를 만들 때는 물을 최소한으로만 넣는다고 해요.
음용 방법도 다양해요. 냉장 보관한 백걸리를 잔에 따라 바로 즐겨도 좋지만, 얼음을 넣어 마시면 더욱 좋아요.
기호에 따라 물을 조금 부어 마셔도 괜찮고요. 한결 부드럽고 화사한 맛과 향을 느낄 수 있어요.
백걸리, 어떻게 만드나요?
재료 본연의 맛을 끌어올린 삼양주
백걸리는 총 세 번 빚어낸 삼양주예요.
우리술은 술을 빚는 횟수에 따라 부르는 이름이 달라지는데요.
밑술에 덧술을 넣고 단번에 빚어내면 단양주, 여기에 재료를 추가하여 두 번 빚어내면 이양주, 한 번 더 덧술을 넣고 만들어내면 삼양주라고 합니다.
여러 번 빚을수록 재료와 시간이 많이 필요하지만 술 맛은 더욱 풍부하고 깊어져요.
감미료를 넣지 않고도 백걸리가 자연스러운 단 맛과 깊은 맛을 내는 비결이지요.
백걸리, 음식과의 궁합은?
고사리무침 / 무나물
제육볶음
백걸리는 묵직한 질감과 부드러운 단맛이 두드러지는 술이에요.
쌀을 많이 사용해서인지, 일반적인 밥 반찬과 꽤 잘 어울리는데요.
고사리무침, 무나물 등 재료 본연의 맛을 드러내는 반찬을 두고 마시기 좋아요. 
백걸리에 얼음을 타 시원하게 마실 때는 제육볶음처럼 매콤한 반찬과 잘 맞습니다.
시원하고 달콤한 맛과 묵직한 질감이 자극적인 입 안을 효과적으로 정돈해 줘요."
